S.No,Validator Name,Jan ,Feb,Mar,April,May,June ,July,August ,September,October,November,December
17,Girnaar Nodes,173490.7203,169782.5953,177143.2516,160010.219,169526.5414,200878.3084,211145.8811,227750.4149,216963.0625,150477.5438,228062.4531,265825.4632
18,Staked,227690.2596,249158.6427,246693.2248,241839.8386,253887.7447,266567.9095,309450.0554,313585.2346,315118.5778,282532.9898,241152.404,244195.7364
19,P2P.org 0% Fee,9644.512763,17491.55939,14276.26638,76431.47207,231528.0607,247995.7756,272509.7268,271415.0484,264057.0673,244992.3353,185615.9001,203908.8301
20,Staking4all - 0% fee,209025.5581,189839.8357,208559.6528,195135.2615,196788.4169,209567.1754,223570.1239,218013.462,216370.8744,194236.1433,186533.9151,188918.6824
21,Matic Friends,249097.2803,236184.5226,248063.3621,228938.4238,229641.5822,232002.6749,242960.191,242537.6703,241367.8477,218842.8883,189929.2892,200620.9367
22,StakePool,72209.48777,148985.815,197909.5334,201947.5167,243540.7509,284583.106,291619.7981,294526.804,278138.9698,252926.4173,171624.5894,128912.3807
23,Blockdaemon,264824.9362,245949.9267,218310.1607,201844.7068,176966.9479,138945.8937,145768.4403,156645.1095,148864.8139,132827.7643,119191.268,111393.6088
24,Matrix Stake,65339.93007,59380.56506,77425.15859,88950.89525,89366.15473,112612.6802,113999.385,112840.9525,110937.7103,102812.2247,85069.45992,84498.28389
25,Infosys,106655.3522,94459.77864,100320.4734,84924.01802,88935.15754,85347.72303,88501.61759,95262.5604,88702.05986,65318.03218,57164.03802,66012.26301
26,Worldpay,70514.31449,66737.14691,70811.44245,71272.83902,71386.44397,69754.68051,75584.67777,74244.93809,74742.76848,71222.80584,58651.39719,61443.13582
27,Abyss Finance 🔥 0% fee,60647.60911,56627.74545,55778.99973,51357.89631,55713.82774,60876.98883,63691.39308,58131.001,61034.1633,54418.19878,51366.64664,53757.17774
28,HashKey Cloud,77196.84476,70309.63199,73536.89105,68603.15096,75355.27812,67871.3196,70573.23047,69171.78182,68259.72308,61077.35561,47537.78723,49047.73579
29,SelfLiquidity,259077.1314,230262.334,245385.5247,278618.4252,306601.8973,271022.6153,229115.1448,212204.431,203191.0378,188286.2485,51160.72729,38723.44386
30,Smart Stake 📈📊,89824.74638,76255.49932,85639.65628,79536.80122,79634.90876,75876.00024,72351.72229,75210.50925,69578.26576,66783.5306,49037.47218,39670.86269
31,Supermoon,80985.83027,76188.24189,82402.87576,78424.55747,78035.51557,66860.29726,68918.40389,68698.57165,66890.87798,62010.64975,33680.49424,31165.20861
32,Prometheus Pool,74217.16782,61118.76105,66668.09183,61321.53455,64594.02514,63746.23336,65601.52284,69725.71079,63543.20289,59993.86497,46492.91284,35282.16477
33,The Abyss (0% commission),120666.9542,93639.15669,99029.55552,87942.83167,82683.6609,67374.81337,43919.16212,43427.96433,44892.65649,42246.82788,34548.90326,32089.23416
34,🐠 stake.fish,41441.82515,38734.55539,39571.42074,36730.1377,38435.06373,38953.6671,40429.5113,37026.14458,39165.26667,36599.13424,30408.39387,28744.56283
35,TruFin,0,0,0,0,0,4026.239659,38355.2123,40378.71139,36920.95117,35895.61364,30191.43207,32118.51501
36,bountyblok,95487.32232,85088.98199,89097.59184,84512.00647,86646.37777,88819.02093,84612.77207,83111.19492,87374.91698,76296.54983,35855.37015,33427.5009
37,Blue Ocean,45378.77054,38315.85026,42874.42496,36933.05026,47060.37234,42088.3764,43675.02839,41365.20178,40792.06357,38055.62519,31555.94134,31649.15664
38,Meria,42971.53435,38056.3561,45000.59537,41836.15301,43038.54869,41545.16639,45282.94871,44314.70852,43095.76486,40608.04688,34810.20266,29885.16704
39,Bware Labs,66071.19234,56932.31396,58799.36475,55504.41145,58347.40895,54303.94374,52988.20864,51756.75257,53085.69491,45711.8164,33723.53709,27696.25645
40,kytzu,61617.39097,58477.90614,60096.6888,53512.92505,51101.17191,48807.56557,49986.87588,50160.90158,48319.13756,44583.15112,28993.47629,25867.90437
41,Fahrenheit ❄️ 0%,28147.80751,26281.76496,29299.65363,28609.65543,29839.22609,30257.6132,33503.37925,31241.59916,30884.68416,28433.3295,25045.27613,23331.78625
42,Deutsche Telekom,20220.74399,18191.75329,20403.35413,22529.6016,26965.86971,26875.06989,24908.66043,25127.41117,25552.42416,23237.72827,21978.88173,20235.6418
43,Valis Labs,24411.59716,23537.60751,21372.12996,22764.84357,19788.62785,19752.72307,20527.92876,20445.46756,19915.97475,18455.06678,16273.54534,17838.57625
44,Making.cash,27827.88119,23979.27679,26352.4474,23372.1798,25306.10169,22977.43544,27402.51719,25890.75071,24603.39621,21772.41756,20083.97466,19020.43208
45,algo | stake,46397.58236,71875.11863,29476.14913,19008.81522,19519.58468,35627.81487,93974.63714,91636.97341,91270.84333,82285.96929,24788.09675,17016.46442
46,Nobi,16926.14369,15619.20537,16189.46169,16926.61193,17416.7681,18061.68999,17896.91855,20738.52435,19566.37084,17537.07142,14316.99987,16827.24115
47,Shard Labs,61325.95372,56899.46382,52185.87221,43740.21838,45431.58565,42780.87087,43749.78835,43500.8371,42471.02129,40068.08477,24690.24362,21518.275
48,DSRV,57927.7527,54771.39336,50867.1164,48449.94427,51570.30637,45551.98562,46864.61264,47762.25737,48821.59934,38536.07164,23590.61213,21175.00166
49,Chorus One,27001.8791,33462.03453,37995.27502,35632.91786,36441.43448,37067.73595,38390.22149,40441.24854,36697.5279,34528.86374,18349.34569,13360.4866
50,Sakura Foundation,30698.30572,25337.23298,25230.36646,24571.12334,28068.61047,28306.78876,27899.14553,29938.57158,26441.36157,27132.21638,19104.86604,10596.85618
51,Stake.Works,13568.9962,13251.82062,11921.7231,13491.82962,12235.20582,12478.92472,11865.02415,13987.74361,13338.2437,10830.76844,10543.08947,10119.19004
52,Vader 73,31095.34033,30744.95073,28245.95724,28394.50982,28179.84945,29045.25686,29353.69109,32498.34273,26749.00765,25562.24387,12560.75449,10906.61427
53,Data Nexus,11542.47771,8376.76188,10042.02206,9837.590442,11328.5424,9394.443351,10443.65016,9706.449424,9444.9946,9845.272619,10702.55635,9342.797265
54,Rasputin,10572.35792,9957.754934,10572.68148,9408.023227,10205.37415,10017.12851,10343.69258,10310.69882,10043.67431,9306.934887,7986.600761,8524.828761
